run_name,experiment_name,seed,gamma,max_min_alpha_ratio,best_validation_macro_f1,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,path
phase4_alpha_focal_gamma1_alpha_capped_cap3_seed0_20260702_093721,gamma1_alpha_capped_cap3,0,1.0,7.473968376397994,0.6105820101461763,0.6105820101461763,0.6681328348361557,0.6032259404238978,0.6535947712418301,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_capped_cap3_seed0_20260702_093721
phase4_alpha_focal_gamma1_alpha_capped_cap3_seed1_20260702_094421,gamma1_alpha_capped_cap3,1,1.0,7.473968376397994,0.6084608382759408,0.6084608382759408,0.664614031229382,0.6048353446192895,0.6501089324618736,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_capped_cap3_seed1_20260702_094421
phase4_alpha_focal_gamma1_alpha_capped_cap3_seed42_20260702_093019,gamma1_alpha_capped_cap3,42,1.0,7.473968376397994,0.6060864227382844,0.6060864227382844,0.6617550032988784,0.6031811073694274,0.6474945533769063,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_capped_cap3_seed42_20260702_093019
phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed0_20260702_101922,gamma1_alpha_effective_beta0999,0,1.0,2.5523276483341646,0.6308205784905868,0.6308205784905868,0.6971629645920387,0.6257629000279091,0.6864923747276689,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed0_20260702_101922
phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed1_20260702_102616,gamma1_alpha_effective_beta0999,1,1.0,2.5523276483341646,0.6289910264906233,0.6289910264906233,0.7002419177479657,0.6337564898951233,0.6941176470588235,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed1_20260702_102616
phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed42_20260702_101218,gamma1_alpha_effective_beta0999,42,1.0,2.5523276483341646,0.628826511611998,0.628826511611998,0.699142291620849,0.6411565926522432,0.69760348583878,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_effective_beta0999_seed42_20260702_101218
phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518,gamma1_alpha_sqrt_inverse_frequency,0,1.0,5.098624898453581,0.6195761461872288,0.6195761461872288,0.6892456564767979,0.6189807218829858,0.6790849673202615,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed0_20260702_085518
phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211,gamma1_alpha_sqrt_inverse_frequency,1,1.0,5.098624898453581,0.6224724420419321,0.6224724420419321,0.6857268528700242,0.6222157331395682,0.674074074074074,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed1_20260702_090211
phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815,gamma1_alpha_sqrt_inverse_frequency,42,1.0,5.098624898453581,0.6225482503353483,0.6225482503353483,0.6855069276446009,0.6281689543921232,0.6797385620915033,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma1_alpha_sqrt_inverse_frequency_seed42_20260702_084815
phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809,gamma2_alpha_capped_cap3,0,2.0,7.473968376397994,0.6082478154387493,0.6082478154387493,0.6635144051022652,0.6049511313807956,0.6457516339869281,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed0_20260702_095809
phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500,gamma2_alpha_capped_cap3,1,2.0,7.473968376397994,0.6115414887894993,0.6115414887894993,0.6657136573564988,0.6057115283747437,0.6509803921568628,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed1_20260702_100500
phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119,gamma2_alpha_capped_cap3,42,2.0,7.473968376397994,0.610311685336901,0.610311685336901,0.6602155267209149,0.6106390880334583,0.6501089324618736,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_capped_cap3_seed42_20260702_095119
phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032,gamma2_alpha_effective_beta0999,0,2.0,2.5523276483341646,0.6278065504100458,0.6278065504100458,0.7009016934242358,0.619226960073845,0.6875816993464052,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed0_20260702_104032
phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729,gamma2_alpha_effective_beta0999,1,2.0,2.5523276483341646,0.6249050523490857,0.6249050523490857,0.6993622168462723,0.6327035368588086,0.6928104575163399,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed1_20260702_104729
phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333,gamma2_alpha_effective_beta0999,42,2.0,2.5523276483341646,0.628644351121701,0.628644351121701,0.6984825159445789,0.6347676229718744,0.6884531590413944,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_effective_beta0999_seed42_20260702_103333
phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615,gamma2_alpha_sqrt_inverse_frequency,0,2.0,5.098624898453581,0.6204577309501698,0.6204577309501698,0.6879261051242578,0.6179525298662901,0.6762527233115468,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed0_20260702_091615
phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312,gamma2_alpha_sqrt_inverse_frequency,1,2.0,5.098624898453581,0.6199426079555673,0.6199426079555673,0.6855069276446009,0.6245857978173689,0.6736383442265795,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed1_20260702_092312
phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed42_20260702_090920,gamma2_alpha_sqrt_inverse_frequency,42,2.0,5.098624898453581,0.6205709918449239,0.6205709918449239,0.6826478997140972,0.6314406933816011,0.6790849673202615,/content/drive/MyDrive/Thesis/models/phase4_alpha_focal_control_runs/phase4_alpha_focal_gamma2_alpha_sqrt_inverse_frequency_seed42_20260702_090920
